298,Maybelline Clear Smooth All In One SPF32/PA++  #02 Nude Beige  9g,Maybeline,แป้งญาญ่า” สุดฮิต แป้งผสมรองพื้นสูตรควบคุมความมัน เนื้อแป้งเนียนละเอียด เกลี่ยง่าย มอบผิวหน้าเนียนใสเปล่งประกายยาวนานตลอดวัน,http://www.konvy.com/static/team/2016/0115/14528475465276.jpg,powder
299,Maybelline Dream Satin Skin Twoway Cake SPF32/PA+++ 9g #B1 Nude Beige,Maybeline,แป้งผสมรองพื้นเนื้อบางเบาดุจกำมะหยี่ แป้งเนื้อเนียนละเอียดที่เน้นปกปิดแบบฟิล์มชั้นเดียว บางกว่าแป้งทั่วไปถึง 5 เท่า,http://www.konvy.com/static/team/2016/0115/14528478921960.jpg,powder
300,Maybelline White Superfresh UV Whitening Long-Lasting Two Way Cake SPF34/PA+++ #03 Natural,Maybeline,แป้งผสมรองพื้นสูตรใหม่ ปฏิวัติวงการแป้ง ล้ำกว่าความขาวกระจ่างใส ล็อคผิวเนียนออร่า ปกปิดยาวนาน,http://www.konvy.com/static/team/2016/0614/14658921221713.jpg,powder
301,Maybelline White Superfresh UV Whitening Long-Lasting Two Way Cake SPF34/PA+++ #02 Nude Beige,Maybeline,แป้งผสมรองพื้นสูตรใหม่ ปฏิวัติวงการแป้ง ล้ำกว่าความขาวกระจ่างใส ล็อคผิวเนียนออร่า ปกปิดยาวนาน,http://www.konvy.com/static/team/2016/0614/14658920889824.jpg,powder
302,Maybelline Super Mineral 24 Healthy Long Lasting Sheer Veil Loose Powder 8g,Maybeline,แป้งฝุ่นอนูละเอียด ผสานอนุภาคมิเนอรัล เพอร์ไลท์ สูตรโมเลกุลเล็ก ช่วยดูดซับความมันส่วนเกินและเหงื่อระหว่างวัน ให้เมคอัพติดทนตลอดวัน ผิวดูนวลเนียน ดูมีสุขภาพดี,http://www.konvy.com/static/team/2016/0614/14658923064976.jpg,powder
303,Maybelline Shine Free Oil-Control Loose Powder #Medium,Maybeline,แป้งฝุ่นสูตรควบคุมความมัน อณูแป้งเล็กละเอียดและบางเบา ไม่ก่อให้เกิดการอุดตันรูขุมขน ไม่ก่อให้เกิดสิว ไม่มีส่วนผสมของแอลกอฮอล์ อันก่อให้เกิดการแพ้ ช่วยให้หน้าดูเปล่งปลั่งกระจ่างใสอย่างเป็นธรรมชาติ,http://www.konvy.com/static/team/2013/1011/13814918643620.jpg,powder
